Hue&Hue,0/16,1/16,2/16,3/16,4/16,5/16,6/16,7/16,8/16,9/16,10/16,11/16,12/16,13/16,14/16,15/16
0/16,11,0,0,1/5,0,0,1/5,0,0,1,0,0,2,0,0,1
1/16,0,11,0,1/3,0,0,1/2,0,0,2,0,0,5,0,0,2
2/16,0,0,11,1,0,0,1,0,0,3,0,0,6,0,0,3
3/16,5,3,1,9,0,0,2,0,0,4,0,0,8,0,0,4
4/16,0,0,0,0,12,0,1,0,0,4,0,0,7,0,0,5
5/16,0,0,0,0,0,12,1,0,0,3,0,0,5,0,0,6
6/16,5,2,1,1/2,1,1,7,0,0,4,0,0,6,0,0,6
7/16,0,0,0,0,0,0,0,13,0,2,0,0,5,0,0,5
8/16,0,0,0,0,0,0,0,0,13,3,0,0,6,0,0,8
9/16,1,1/2,1/3,1/4,1/4,1/3,1/4,1/2,1/3,5,0,0,3,0,0,5
10/16,0,0,0,0,0,0,0,0,0,0,14,0,1,0,0,1/3
11/16,0,0,0,0,0,0,0,0,0,0,0,14,1,0,0,1/5
12/16,1/2,1/5,1/6,1/8,1/7,1/5,1/6,1/5,1/6,1/3,1,1,3,0,0,1/3
13/16,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,1/2
14/16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2
15/16,1,1/2,1/3,1/4,1/5,1/6,1/6,1/5,1/8,1/5,3,5,3,2,1/2,1
